timestamp_utc,mstr_price,btc_price,btc_holdings,diluted_shares,market_cap_b,btc_nav_b,mnav,ratio_dd_from_90d_peak_pct,btc_dd_from_ath_pct,lead_lag_divergence_flag,shares_30d_annualized_pct,shares_90d_annualized_pct,shares_acceleration_flag,realized_vol_30d_pct,realized_vol_90d_pct,implied_vol_30d_pct,gamma_squeeze_armed,gamma_squeeze_elevated,ratio_multiple_off_2y_low,preferred_max_yield_pct,preferred_worst_30d_drawdown_pct,credit_stress_flag
2026-04-30T06:55:43+00:00,158.19,75776.13,818334,350386842,55.428,62.01,0.8938,-8.98,-39.26,False,18.22,27.39,False,57.66,76.11,50.0,False,False,1.24,13.1,-2.22,True
2026-04-30T08:39:05+00:00,158.19,75776.13,818334,350386842,55.428,62.01,0.8938,-8.98,-39.26,False,18.22,27.39,False,57.66,76.11,50.0,False,False,1.24,13.1,-2.22,True
2026-04-30T10:52:02+00:00,158.19,75776.13,818334,350386842,55.428,62.01,0.8938,-8.98,-39.26,False,18.22,27.39,False,57.66,76.11,50.0,False,False,1.24,13.1,-2.22,True
2026-04-30T12:12:51+00:00,158.19,75776.13,818334,350386842,55.428,62.01,0.8938,-8.98,-39.26,False,18.22,27.39,False,57.66,76.11,50.0,False,False,1.24,13.1,-2.22,True
2026-04-30T14:32:09+00:00,162.4,76474.0,818334,350386842,56.901,62.581,0.9092,-7.41,-38.7,False,17.21,27.02,False,57.63,75.87,72.16,False,False,1.26,13.06,-1.89,True
2026-04-30T16:16:10+00:00,165.22,76397.33,818334,350386842,57.891,62.519,0.926,-5.71,-38.76,False,17.21,27.02,False,58.3,76.09,73.33,False,False,1.28,13.1,-2.2,True
2026-04-30T17:50:17+00:00,164.91,76147.93,818334,350386842,57.782,62.314,0.9273,-5.57,-38.96,False,17.21,27.02,False,58.2,76.06,65.38,False,False,1.28,13.06,-1.92,True
2026-04-30T19:14:01+00:00,166.49,76445.04,818334,350386842,58.338,62.558,0.9325,-5.04,-38.72,False,17.21,27.02,False,58.73,76.22,68.15,False,False,1.29,13.02,-1.61,True
2026-04-30T20:38:36+00:00,165.45,76493.07,818334,350386842,57.972,62.597,0.9261,-5.69,-38.68,False,17.21,27.02,False,58.37,76.11,69.21,False,False,1.28,13.01,-1.54,True
2026-04-30T21:54:53+00:00,165.45,76227.82,818334,350386842,57.972,62.38,0.9293,-5.37,-38.9,False,17.21,27.02,False,58.37,76.11,69.21,False,False,1.29,13.01,-1.54,True
