date,mstr,btc
2024-04-30,106.50299835205078,60636.85546875
2024-05-01,102.8270034790039,58254.01171875
2024-05-02,112.94200134277344,59123.43359375
2024-05-03,122.3010025024414,62889.8359375
2024-05-06,126.88099670410156,63161.94921875
2024-05-07,125.74500274658203,62334.81640625
2024-05-08,123.31199645996094,61187.94140625
2024-05-09,126.36399841308594,63049.9609375
2024-05-10,118.0479965209961,60792.77734375
2024-05-13,124.59600067138672,62901.44921875
2024-05-14,129.76300048828125,61552.7890625
2024-05-15,150.3470001220703,66267.4921875
2024-05-16,143.9980010986328,65231.58203125
2024-05-17,158.4499969482422,67051.875
2024-05-20,172.7239990234375,71448.1953125
2024-05-21,165.54200744628906,70136.53125
2024-05-22,164.6999969482422,69122.3359375
2024-05-23,154.40699768066406,67929.5625
2024-05-24,168.48399353027344,68526.1015625
2024-05-28,167.53500366210938,68296.21875
2024-05-29,161.8699951171875,67578.09375
2024-05-30,154.10000610351562,68364.9921875
2024-05-31,152.44900512695312,67491.4140625
2024-06-03,162.74099731445312,68804.78125
2024-06-04,163.8769989013672,70567.765625
2024-06-05,169.468994140625,71082.8203125
2024-06-06,165.66299438476562,70757.1640625
2024-06-07,159.6199951171875,69342.5859375
2024-06-10,159.99200439453125,69512.28125
2024-06-11,155.5489959716797,67332.03125
2024-06-12,160.36700439453125,68241.1875
2024-06-13,148.38800048828125,66756.3984375
2024-06-14,149.5540008544922,66011.09375
2024-06-17,150.7259979248047,66490.296875
2024-06-18,146.9429931640625,65140.74609375
2024-06-20,146.5399932861328,64828.65625
2024-06-21,148.37600708007812,64096.19921875
2024-06-24,137.21499633789062,60277.4140625
2024-06-25,149.57400512695312,61804.640625
2024-06-26,145.7729949951172,60811.27734375
2024-06-27,152.5399932861328,61604.80078125
2024-06-28,137.7480010986328,60320.13671875
2024-07-01,136.5970001220703,62851.98046875
2024-07-02,132.0189971923828,62029.015625
2024-07-03,130.20899963378906,60173.921875
2024-07-05,128.1719970703125,56662.375
2024-07-08,129.05799865722656,56705.09765625
2024-07-09,130.177001953125,58009.2265625
2024-07-10,130.57200622558594,57742.49609375
2024-07-11,135.8560028076172,57344.9140625
2024-07-12,139.67599487304688,57899.46484375
2024-07-15,161.1280059814453,64870.15234375
2024-07-16,166.42999267578125,65097.1484375
2024-07-17,159.0,64118.79296875
2024-07-18,155.51600646972656,63974.06640625
2024-07-19,177.85000610351562,66710.15625
2024-07-22,180.00900268554688,67585.25
2024-07-23,172.177001953125,65927.671875
2024-07-24,167.2689971923828,65372.1328125
2024-07-25,160.64700317382812,65777.2265625
2024-07-26,175.27099609375,67912.0625
2024-07-29,168.48500061035156,66819.9140625
2024-07-30,160.40699768066406,66201.015625
2024-07-31,161.44400024414062,64619.25
2024-08-01,151.18099975585938,65357.5
2024-08-02,144.7989959716797,61415.06640625
2024-08-05,130.89999389648438,53991.45703125
2024-08-06,136.92100524902344,56034.31640625
2024-08-07,124.68499755859375,55027.4609375
2024-08-08,135.99000549316406,61710.13671875
2024-08-09,135.3699951171875,60880.11328125
2024-08-12,131.4600067138672,59354.515625
2024-08-13,135.3800048828125,60609.56640625
2024-08-14,130.3699951171875,58737.26953125
2024-08-15,131.92999267578125,57560.09765625
2024-08-16,133.0399932861328,58894.10546875
2024-08-19,135.35000610351562,59493.453125
2024-08-20,133.69000244140625,59012.79296875
2024-08-21,141.4199981689453,61175.19140625
2024-08-22,133.80999755859375,60381.9140625
2024-08-23,150.00999450683594,64094.35546875
2024-08-26,146.89999389648438,62880.66015625
2024-08-27,140.00999450683594,59504.1328125
2024-08-28,132.08999633789062,59027.625
2024-08-29,132.55999755859375,59388.1796875
2024-08-30,132.4199981689453,59119.4765625
2024-09-03,122.31999969482422,57431.0234375
2024-09-04,124.8499984741211,57971.5390625
2024-09-05,119.56999969482422,56160.48828125
2024-09-06,114.30000305175781,53948.75390625
2024-09-09,124.81999969482422,57019.53515625
2024-09-10,129.63999938964844,57648.7109375
2024-09-11,129.27999877929688,57343.171875
2024-09-12,130.77000427246094,58127.01171875
2024-09-13,141.47000122070312,60571.30078125
2024-09-16,134.52999877929688,58192.5078125
2024-09-17,131.27000427246094,60308.5390625
2024-09-18,132.6699981689453,61649.6796875
2024-09-19,144.66000366210938,62940.45703125
2024-09-20,144.77999877929688,63192.9765625
2024-09-23,149.97000122070312,63329.80078125
2024-09-24,153.8800048828125,64301.96875
2024-09-25,151.94000244140625,63143.14453125
2024-09-26,165.97999572753906,65181.01953125
2024-09-27,176.22000122070312,65790.6640625
2024-09-30,168.60000610351562,63329.5
2024-10-01,162.69000244140625,60837.0078125
2024-10-02,164.63999938964844,60632.78515625
2024-10-03,163.41000366210938,60759.40234375
2024-10-04,176.50999450683594,62067.4765625
2024-10-07,186.08999633789062,62236.66015625
2024-10-08,192.1999969482422,62131.96875
2024-10-09,188.91000366210938,60582.1015625
2024-10-10,183.33999633789062,60274.5
2024-10-11,212.58999633789062,62445.08984375
2024-10-14,201.6699981689453,66046.125
2024-10-15,194.30999755859375,67041.109375
2024-10-16,194.08999633789062,67612.71875
2024-10-17,193.4199981689453,67399.8359375
2024-10-18,215.86000061035156,68418.7890625
2024-10-21,219.0500030517578,67367.8515625
2024-10-22,219.6999969482422,67361.40625
2024-10-23,213.9499969482422,66432.1953125
2024-10-24,235.88999938964844,68161.0546875
2024-10-25,234.33999633789062,66642.4140625
2024-10-28,255.33999633789062,69907.7578125
2024-10-29,258.239990234375,72720.4921875
2024-10-30,247.30999755859375,72339.5390625
2024-10-31,244.5,70215.1875
2024-11-01,229.7100067138672,69482.46875
2024-11-04,222.99000549316406,67811.5078125
2024-11-05,227.8000030517578,69359.5625
2024-11-06,257.80999755859375,75639.078125
2024-11-07,270.80999755859375,75904.859375
2024-11-08,270.4200134277344,76545.4765625
2024-11-11,340.0,88701.484375
2024-11-12,356.5899963378906,87955.8125
2024-11-13,328.3800048828125,90584.1640625
2024-11-14,327.6700134277344,87250.4296875
2024-11-15,340.6499938964844,91066.0078125
2024-11-18,384.7900085449219,90542.640625
2024-11-19,430.5400085449219,92343.7890625
2024-11-20,473.8299865722656,94339.4921875
2024-11-21,397.2799987792969,98504.7265625
2024-11-22,421.8800048828125,98997.6640625
2024-11-25,403.45001220703125,93102.296875
2024-11-26,353.69000244140625,91985.3203125
2024-11-27,388.8399963378906,95962.53125
2024-11-29,387.4700012207031,97461.5234375
2024-12-02,380.29998779296875,95865.3046875
2024-12-03,373.42999267578125,96002.1640625
2024-12-04,406.0,98768.53125
2024-12-05,386.3999938964844,96593.5703125
2024-12-06,395.010009765625,99920.7109375
2024-12-09,365.3399963378906,97432.71875
2024-12-10,377.32000732421875,96675.4296875
2024-12-11,411.3999938964844,101173.03125
2024-12-12,392.19000244140625,100043.0
2024-12-13,408.6700134277344,101459.2578125
2024-12-16,408.5,106029.71875
2024-12-17,386.4200134277344,106140.6015625
2024-12-18,349.6400146484375,100041.5390625
2024-12-19,326.4599914550781,97490.953125
2024-12-20,364.20001220703125,97755.9296875
2024-12-23,332.2300109863281,94686.2421875
2024-12-24,358.17999267578125,98676.09375
2024-12-26,341.04998779296875,95795.515625
2024-12-27,330.0,94164.859375
2024-12-30,302.9599914550781,92643.2109375
2024-12-31,289.6199951171875,93429.203125
2025-01-02,300.010009765625,96886.875
2025-01-03,339.6600036621094,98107.4296875
2025-01-06,379.0899963378906,102078.0859375
2025-01-07,341.42999267578125,96922.703125
2025-01-08,331.70001220703125,95043.5234375
2025-01-10,327.9100036621094,94701.453125
2025-01-13,328.3999938964844,94516.5234375
2025-01-14,342.1700134277344,96534.046875
2025-01-15,360.6199951171875,100504.4921875
2025-01-16,367.0,99756.90625
2025-01-17,396.5,104462.0390625
2025-01-21,389.1000061035156,106146.265625
2025-01-22,377.30999755859375,103653.0703125
2025-01-23,373.1199951171875,103960.171875
2025-01-24,353.6700134277344,104819.484375
2025-01-27,347.9200134277344,102087.6875
2025-01-28,335.92999267578125,101332.4765625
2025-01-29,341.25,103703.2109375
2025-01-30,340.0899963378906,104735.3046875
2025-01-31,334.7900085449219,102405.0234375
2025-02-03,347.0899963378906,101405.421875
2025-02-04,348.30999755859375,97871.8203125
2025-02-05,336.70001220703125,96615.4453125
2025-02-06,325.4599914550781,96593.296875
2025-02-07,327.55999755859375,96529.0859375
2025-02-10,334.6199951171875,97437.5546875
2025-02-11,319.4599914550781,95747.4296875
2025-02-12,326.82000732421875,97885.859375
2025-02-13,324.9200134277344,96623.8671875
2025-02-14,337.7300109863281,97508.96875
2025-02-18,333.9700012207031,95539.546875
2025-02-19,318.6700134277344,96635.609375
2025-02-20,323.9200134277344,98333.9375
2025-02-21,299.69000244140625,96125.546875
2025-02-24,282.760009765625,91418.171875
2025-02-25,250.50999450683594,88736.171875
2025-02-26,263.2699890136719,84347.0234375
2025-02-27,240.0500030517578,84704.2265625
2025-02-28,255.42999267578125,84373.0078125
2025-03-03,250.9199981689453,86065.671875
2025-03-04,275.1499938964844,87222.1953125
2025-03-05,308.54998779296875,90623.5625
2025-03-06,304.1099853515625,89961.7265625
2025-03-07,287.17999267578125,86742.671875
2025-03-10,239.27000427246094,78532.0
2025-03-11,260.5899963378906,82862.2109375
2025-03-12,262.54998779296875,83722.359375
2025-03-13,263.260009765625,81066.703125
2025-03-14,297.489990234375,83969.1015625
2025-03-17,294.2699890136719,84075.6875
2025-03-18,283.19000244140625,82718.5
2025-03-19,304.2300109863281,86854.2265625
2025-03-20,302.07000732421875,84167.1953125
2025-03-21,304.0,84043.2421875
2025-03-24,335.7200012207031,87498.9140625
2025-03-25,341.80999755859375,87471.703125
2025-03-26,329.30999755859375,86900.8828125
2025-03-27,324.5899963378906,87177.1015625
2025-03-28,289.4100036621094,84353.1484375
2025-03-31,288.2699890136719,82548.9140625
2025-04-01,306.0199890136719,85169.171875
2025-04-02,312.5400085449219,82485.7109375
2025-04-03,282.2799987792969,83102.828125
2025-04-04,293.6099853515625,83843.8046875
2025-04-07,268.1400146484375,79235.3359375
2025-04-08,237.9499969482422,76271.953125
2025-04-09,296.8599853515625,82573.953125
2025-04-10,272.3399963378906,79626.140625
2025-04-11,299.9800109863281,83404.8359375
2025-04-14,311.45001220703125,84542.390625
2025-04-15,310.7200012207031,83668.9921875
2025-04-16,311.6600036621094,84033.8671875
2025-04-17,317.20001220703125,84895.75
2025-04-21,317.760009765625,87518.90625
2025-04-22,343.0299987792969,93441.890625
2025-04-23,345.7300109863281,93699.109375
2025-04-24,350.3399963378906,93943.796875
2025-04-25,368.7099914550781,94720.5
2025-04-28,369.25,94978.75
2025-04-29,381.45001220703125,94284.7890625
2025-04-30,380.1099853515625,94207.3125
2025-05-01,381.6000061035156,96492.3359375
2025-05-02,394.3699951171875,96910.0703125
2025-05-05,386.5299987792969,94748.0546875
2025-05-06,385.6000061035156,96802.4765625
2025-05-07,392.4800109863281,97032.3203125
2025-05-08,414.3800048828125,103241.4609375
2025-05-09,416.0299987792969,102970.8515625
2025-05-12,404.8999938964844,102812.953125
2025-05-13,421.6099853515625,104169.8125
2025-05-14,416.75,103539.4140625
2025-05-15,397.0299987792969,103744.640625
2025-05-16,399.79998779296875,103489.2890625
2025-05-19,413.4200134277344,105606.1796875
2025-05-20,416.9200134277344,106791.0859375
2025-05-21,402.69000244140625,109678.078125
2025-05-22,399.4599914550781,111673.28125
2025-05-23,369.510009765625,107287.796875
2025-05-27,372.20001220703125,108994.640625
2025-05-28,364.25,107802.328125
2025-05-29,370.6300048828125,105641.7578125
2025-05-30,369.05999755859375,103998.5703125
2025-06-02,372.2699890136719,105881.53125
2025-06-03,387.42999267578125,105432.46875
2025-06-04,378.1000061035156,104731.984375
2025-06-05,368.7900085449219,101575.953125
2025-06-06,374.4700012207031,104390.34375
2025-06-09,392.1199951171875,110294.1015625
2025-06-10,391.17999267578125,110257.234375
2025-06-11,387.1099853515625,108686.625
2025-06-12,379.760009765625,105929.0546875
2025-06-13,382.8699951171875,106090.96875
2025-06-16,382.25,106796.7578125
2025-06-17,375.17999267578125,104601.1171875
2025-06-18,369.0299987792969,104883.328125
2025-06-20,369.70001220703125,103309.6015625
2025-06-23,367.17999267578125,105577.7734375
2025-06-24,377.0199890136719,106045.6328125
2025-06-25,388.6700134277344,107361.2578125
2025-06-26,386.44000244140625,106960.0
2025-06-27,383.8800048828125,107088.4296875
2025-06-30,404.2300109863281,107135.3359375
2025-07-01,373.29998779296875,105698.28125
2025-07-02,402.2799987792969,108859.3203125
2025-07-03,403.989990234375,109647.9765625
2025-07-07,395.6700134277344,108299.8515625
2025-07-08,396.94000244140625,108950.2734375
2025-07-09,415.4100036621094,111326.5546875
2025-07-10,421.739990234375,115987.203125
2025-07-11,434.5799865722656,117516.9921875
2025-07-14,451.0199890136719,119849.703125
2025-07-15,442.30999755859375,117777.1875
2025-07-16,455.8999938964844,118738.5078125
2025-07-17,451.3399963378906,119289.84375
2025-07-18,423.2200012207031,118003.2265625
2025-07-21,426.2799987792969,117439.5390625
2025-07-22,426.3999938964844,119995.4140625
2025-07-23,412.6700134277344,118754.9609375
2025-07-24,414.9200134277344,118368.0
2025-07-25,405.8900146484375,117635.8828125
2025-07-28,403.79998779296875,117924.4765625
2025-07-29,394.6600036621094,117922.1484375
2025-07-30,395.0400085449219,117831.1875
2025-07-31,401.8599853515625,115758.203125
2025-08-01,366.6300048828125,113320.0859375
2025-08-04,389.239990234375,115071.8828125
2025-08-05,375.4599914550781,114141.4453125
2025-08-06,383.4100036621094,115028.0
2025-08-07,402.010009765625,117496.8984375
2025-08-08,395.1300048828125,116688.7265625
2025-08-11,400.25,118731.4453125
2025-08-12,394.3900146484375,120172.90625
2025-08-13,389.8999938964844,123344.0625
2025-08-14,372.94000244140625,118359.578125
