date,mstr,btc,btc_holdings,diluted_shares,market_cap,btc_nav,mnav,ratio,ratio_dd_from_90d_peak_pct,btc_dd_from_ath_pct,lead_lag_diverging,shares_30d_annualized_pct,shares_90d_annualized_pct,shares_acceleration,realized_vol_30d_pct,realized_vol_90d_pct,gamma_armed,gamma_elevated,ratio_multiple_off_2y_low,preferred_max_yield_pct,credit_stress,btc_funding_8h_pct,btc_funding_annualized_pct
2016-05-05,17.983,447.976013,,120000000.0,2157959976.196289,,,0.040143,,-3.886163,False,0.0,0.0,False,23.674775,25.942345,False,False,,,False,,
2016-05-06,18.257,459.602997,,120000000.0,2190839996.33789,,,0.039723,,-1.391578,False,0.0,0.0,False,24.078993,26.040033,False,False,,,False,,
2016-05-07,18.257,458.536011,,120000000.0,2190839996.33789,,,0.039816,,-1.620501,False,0.0,0.0,False,23.469213,26.040033,False,False,,,False,,
2016-05-08,18.257,458.548004,,120000000.0,2190839996.33789,,,0.039815,,-1.617928,False,0.0,0.0,False,23.459864,25.974151,False,False,,,False,,
2016-05-09,18.816,460.483002,,120000000.0,2257919998.168946,,,0.040861,,-1.202772,False,0.0,0.0,False,24.962435,26.141326,False,False,,,False,,
2016-05-10,19.049999,450.894989,,120000000.0,2285999908.447266,,,0.042249,,-3.259893,False,0.0,0.0,False,25.145603,26.080061,False,False,,,False,,
2016-05-11,18.518999,452.727997,,120000000.0,2222279891.967774,,,0.040905,,-2.866618,False,0.0,0.0,False,26.490416,26.567668,False,False,,,False,,
2016-05-12,18.445,454.765991,,120000000.0,2213399963.378906,,,0.040559,,-2.429364,False,0.0,0.0,False,26.35868,26.495772,False,False,,,False,,
2016-05-13,18.215,455.670013,,120000000.0,2185800018.310547,,,0.039974,,-2.235405,False,0.0,0.0,False,25.632014,26.607657,False,False,,,False,,
2016-05-14,18.215,455.67099,,120000000.0,2185800018.310547,,,0.039974,,-2.235195,False,0.0,0.0,False,25.579246,26.607657,False,False,,,False,,
