date,btc_holdings,diluted_shares
2026-04-30,818334.0,350386842.0
2026-05-01,818334.0,350386842.0
2026-05-02,818334.0,350386842.0
2026-05-03,818334.0,350386842.0
2026-05-04,818334.0,350386842.0
2026-05-05,818334.0,350386842.0
2026-05-06,818334.0,350386842.0
2026-05-07,818334.0,350386842.0
